id,competition_id,year,category,prize,entry_name,brand_id,product_id,brewery_id,status,confidence,source_id,evidence,competition_name,brand_name,brewery_name,is_gold_award
10888,3,2020,,グランプリ (Grand Prix),SAKUTA,,208,,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),SAKUTA,（株）盛田庄兵衛,0
10889,3,2022,,金賞 (Gold Award),SHUSHU Light,,215,614,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),SHUSHU Light,沢の鶴株式会社,1
10890,4,2023,,第2位 (Gold 2nd),SUSTAINABLE CHALLENGE300,,215,614,verified,0.98,,,SAKE COMPETITION,SUSTAINABLE CHALLENGE300,沢の鶴株式会社,1
10891,5,2022,,最高金賞 (Grand Gold),Type-FY2,,238,982,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),Type-FY2,若波酒造 合名会社,1
10892,3,2022,,銀賞 (Silver Award),Velvet,,244,7197,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),Velvet,合資会社基山商店,0
10893,4,2025,,第3位 (Gold 3rd),WANOTSUKI,,246,,verified,0.98,,,SAKE COMPETITION,WANOTSUKI,（有）月の輪酒造店,1
10894,4,2024,,第2位 (Gold 2nd),X3,,250,539,verified,0.98,,,SAKE COMPETITION,X3,合名会社秋田富士酒造店,1
10895,5,2023,,金賞 (Gold Award),YUFUDAKE,,251,,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),YUFUDAKE,小野酒造（有）,1
10896,3,2020,,銀賞 (Silver Award),Yuzu Omoi,,254,1155,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),Yuzu Omoi,株式会社山本本家,0
10897,3,2023,,銀賞 (Silver Award),ZERO,,256,6988,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),ZERO,白嶽酒造株式会社,0
10898,4,2024,,銀賞 (Silver),afs,,257,4298,verified,0.98,,,SAKE COMPETITION,afs,木戸泉酒造,0
10899,4,2024,,銀賞 (Silver),h(エイチ),,3199,966,verified,0.98,,,SAKE COMPETITION,h(エイチ),比翼鶴酒造 株式会社,0
10900,3,2022,,グランプリ (Grand Prix),あたごのまつ,,95,4702,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),あたごのまつ,新澤醸造店,0
10901,3,2024,,銀賞 (Silver Award),あの花,,3178,2487,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),あの花,武甲酒造株式会社,0
10902,5,2024,,最高金賞 (Grand Gold),あべ,,4750,237,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),あべ,阿部酒造株式会社,1
10903,2,2022,,Commended (推奨),あやめさけ,,297,538,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,あやめさけ,寿酒造株式会社,0
10904,3,2023,,金賞 (Gold Award),あら玉,,5195,,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),あら玉,和田酒造（資）,1
10905,5,2024,,金賞 (Gold Award),あら玉 純米吟醸 啓翁桜,,5195,,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),あら玉 純米吟醸 啓翁桜,和田酒造（資）,1
10906,4,2024,,第2位 (Gold 2nd),いも美,,318,6896,verified,0.98,,,SAKE COMPETITION,いも美,寿海酒造株式会社,1
10907,3,2023,,金賞 (Gold Award),いわお,,1892,6535,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),いわお,高井株式会社,1
10908,5,2025,,金賞 (Gold Award),いわき郷,,324,112,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),いわき郷,合名会社 四家酒造店,1
10909,5,2025,,金賞 (Gold Award),うきは,,121,992,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),うきは,株式会社 いそのさわ,1
10910,5,2021,,金賞 (Gold Award),うとうと。純米酒,,328,5589,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),うとうと。純米酒,小豆島酒造株式会社,1
10911,5,2024,,最高金賞 (Grand Gold),おしゅん,,4111,,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),おしゅん,亀の井酒造（株）,1
10912,4,2022,,第2位 (Gold 2nd),お福正宗,,10906,269,verified,0.98,,,SAKE COMPETITION,お福正宗,お福酒造株式会社,1
10913,3,2021,,金賞 (Gold Award),かかみ野,,371,,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),かかみ野,小町酒造（株）,1
10914,3,2022,,銀賞 (Silver Award),かくれい,,373,287,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),かくれい,青木酒造株式会社,0
10915,3,2020,,銀賞 (Silver Award),かっぱ,,4031,,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),かっぱ,米鶴酒造（株）,0
10916,5,2021,,金賞 (Gold Award),かんなびの里,,395,7364,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),かんなびの里,小島酒造店,1
10917,4,2023,,金賞 (Gold),きたのはな,,9910,81,verified,0.98,,,SAKE COMPETITION,きたのはな,合資会社 喜多の華酒造場,1
10918,5,2024,,最高金賞 (Grand Gold),くろさわ,,413,,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),くろさわ,黒澤酒造（株）,1
10919,4,2025,,第2位 (Gold 2nd),さくら浪漫,,435,676,verified,0.98,,,SAKE COMPETITION,さくら浪漫,キング醸造株式会社,1
10920,3,2020,,銀賞 (Silver Award),さやか,,447,6072,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),さやか,銀盤酒造株式会社,0
10921,4,2023,,第1位 (Gold 1st),しげます 大吟醸生原酒,,453,952,verified,0.98,,,SAKE COMPETITION,しげます 大吟醸生原酒,株式会社 高橋商店,1
10922,4,2024,,第2位 (Gold 2nd),しずくしぼり大吟醸 麓寿泉,,454,943,verified,0.98,,,SAKE COMPETITION,しずくしぼり大吟醸 麓寿泉,勝屋酒造 合名会社,1
10923,3,2020,,銀賞 (Silver Award),しぜんしゅ,,455,129,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),しぜんしゅ,有限会社 仁井田本家,0
10924,5,2021,,最高金賞 (Grand Gold),しぼりたて生原酒,,454,943,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),しぼりたて生原酒,勝屋酒造 合名会社,1
10925,5,2021,,最高金賞 (Grand Gold),しゃばだ,,836,4281,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),しゃばだ,合同酒精株式会社,1
10926,2,2022,,Gold Medal (金賞),しゅムリエ,,466,6047,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,しゅムリエ,㈱本家松浦酒造場,1
10927,3,2024,,金賞 (Gold Award),しろがっぱ,,469,,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),しろがっぱ,戸塚酒造（株）,1
10928,2,2024,,Commended (推奨),すてら,,489,,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,すてら,(株)稲葉酒造,0
10929,4,2025,,第3位 (Gold 3rd),せきのいち,,790,,verified,0.98,,,SAKE COMPETITION,せきのいち,世嬉の一酒造（株）,1
10930,3,2024,,銀賞 (Silver Award),せせらぎ,,493,,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),せせらぎ,平野醸造（資）,0
10931,3,2024,,銀賞 (Silver Award),それがし,,501,122,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),それがし,合資会社 大和川酒造店,0
10932,4,2024,,金賞 (Gold),たからやま,,505,252,verified,0.98,,,SAKE COMPETITION,たからやま,たからやま醸造株式会社,1
10933,2,2023,,Commended (推奨),たまの慶,,508,1852,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,たまの慶,石川酒造株式会社,0
10934,3,2024,,グランプリ (Grand Prix),だちゅー,,10103,107,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),だちゅー,花泉酒造 株式会社,0
10935,4,2022,,銀賞 (Silver),だんない,,512,666,verified,0.98,,,SAKE COMPETITION,だんない,神結酒造株式会社,0
10936,3,2023,,銀賞 (Silver Award),て、咲く,,580,1918,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),て、咲く,株式会社はつもみぢ,0
10937,3,2021,,グランプリ (Grand Prix),なごやか,,551,,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),なごやか,(株)武勇,0
10938,5,2022,,最高金賞 (Grand Gold),なでしこ,,553,6990,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),なでしこ,壱岐の蔵酒造株式会社,1
10939,3,2022,,銀賞 (Silver Award),なま生,,557,6164,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),なま生,山梨銘醸株式会社,0
10940,5,2023,,金賞 (Gold Award),はつもみぢ,,580,1918,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),はつもみぢ,株式会社はつもみぢ,1
10941,5,2024,,金賞 (Gold Award),ぱんだ祭り,,590,7126,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),ぱんだ祭り,矢野酒造株式会社,1
10942,2,2025,,Gold Medal (金賞),ひこ孫 純米大吟醸,,594,2486,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,ひこ孫 純米大吟醸,神亀酒造株式会社,1
10943,5,2025,,最高金賞 (Grand Gold),ひだほまれ,,597,,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),ひだほまれ,天領酒造（株）,1
10944,3,2021,,銀賞 (Silver Award),ひだ正宗,,599,2160,verified,0.98,,,全米日本酒歓評会 (U.S. National Sake Appraisal),ひだ正宗,川尻酒造場,0
10945,4,2025,,第3位 (Gold 3rd),ひとすじ,,600,,verified,0.98,,,SAKE COMPETITION,ひとすじ,和田龍酒造（株）,1
10946,2,2023,,Gold Medal (金賞),ひめの凜,,610,2681,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,ひめの凜,梅錦山川株式会社,1
10947,2,2022,,Commended (推奨),びびび。本醸造,,328,5589,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,びびび。本醸造,小豆島酒造株式会社,0
10948,2,2023,,Silver Medal (銀賞),ふかもり,,617,,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,ふかもり,山内酒造（株）,0
10949,5,2022,,最高金賞 (Grand Gold),ふくしま春空,,619,78,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),ふくしま春空,花春酒造 株式会社,1
10950,4,2024,,銀賞 (Silver),ほの香,,634,1132,verified,0.98,,,SAKE COMPETITION,ほの香,大石酒造株式会社,0
10951,5,2022,,金賞 (Gold Award),みかんちゅ,,653,1841,verified,0.98,,,ワイングラスでおいしい日本酒アワード (Fine Sake Awards Japan),みかんちゅ,浜松酒造株式会社,1
10952,4,2025,,第3位 (Gold 3rd),めぐる,,669,1386,verified,0.98,,,SAKE COMPETITION,めぐる,水谷酒造株式会社,1
10953,4,2024,,銀賞 (Silver),めだかの宿,,1994,220,verified,0.98,,,SAKE COMPETITION,めだかの宿,新潟銘醸株式会社,0
10954,2,2022,,Gold Medal (金賞),やまねこ,,256,6988,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,やまねこ,白嶽酒造株式会社,1
10955,2,2023,,Commended (推奨),ゆきのまゆ,,11139,294,verified,0.98,,,IWC (International Wine Challenge) SAKE部門,ゆきのまゆ,苗場酒造株式会社,0
